"measurementType","measurementValue","measurementUnit","measurementMethod","eventID"
"perimeter","1100","meter","waking perimeter with GPS track-log","95d868d6-1c6b-4686-a45e-7a57da19459d"
"perimeter","785","meter","waking perimeter with GPS track-log","d7199c68-1985-494e-8ad4-010d3328e779"
"perimeter","1100","meter","waking perimeter with GPS track-log","d2c7ba64-c1e9-41bc-b2da-cda0e584b697"
"perimeter","976","meter","waking perimeter with GPS track-log","01421a15-d3a3-40f0-8577-d025a01fb8dc"
"perimeter","457","meter","waking perimeter with GPS track-log","83888ae2-41dd-4656-91fe-bead0c7474f4"
"perimeter","773","meter","waking perimeter with GPS track-log","5cdfec49-6db8-4b63-9970-469adb7abdf4"
"perimeter","773","meter","waking perimeter with GPS track-log","2e051d85-a224-45d6-b62d-13ca5df9e40f"
"perimeter","773","meter","waking perimeter with GPS track-log","316c671c-0e9a-4987-9042-43ceeb957fc1"
"perimeter","773","meter","waking perimeter with GPS track-log","d7eee083-f7a4-41f5-be21-28b666732814"
"perimeter","1600","meter","waking perimeter with GPS track-log","a61adca6-0c72-489d-a640-8a9aa84c5d81"
"perimeter","686","meter","waking perimeter with GPS track-log","c85b158e-d0e9-4c0a-92d1-ed8bcf3b57be"
"perimeter","740","meter","waking perimeter with GPS track-log","9bd27eb5-e2f0-43a0-8854-39b9ba028295"
"perimeter","599","meter","waking perimeter with GPS track-log","d46c6390-ea6f-47db-9d55-011de85ec686"
"perimeter","182","meter","waking perimeter with GPS track-log","1b92a0be-d942-45b9-8ae5-a5bef21ce34e"
"perimeter","182","meter","waking perimeter with GPS track-log","84217668-7d90-48e6-bbba-c3a80685dd8e"
"perimeter","334","meter","waking perimeter with GPS track-log","9c5ff115-5228-4bfe-a320-c2d9b4fe4fdc"
"perimeter","334","meter","waking perimeter with GPS track-log","efbf008a-e566-4073-8420-0b166e7167bf"
"perimeter","618","meter","waking perimeter with GPS track-log","9f8dc9b8-721b-4223-b538-179bf7972843"
"perimeter","618","meter","waking perimeter with GPS track-log","22477041-4870-4677-b2c4-6b6bd0d1aa13"
"perimeter","303","meter","waking perimeter with GPS track-log","76d54b05-3d69-4b7c-9989-b8e5d5d22246"
"perimeter","303","meter","waking perimeter with GPS track-log","c8556cda-c2e6-4363-82b6-3afa32ad5e17"
"perimeter","301","meter","waking perimeter with GPS track-log","36ae1aed-e1dc-465a-9f67-b131db8064c8"
"perimeter","213","meter","waking perimeter with GPS track-log","320e576a-370f-42ce-8180-b3a17738be96"
"perimeter","352","meter","waking perimeter with GPS track-log","43d12e70-a310-4387-bd96-21f3647dd670"
"perimeter","613","meter","waking perimeter with GPS track-log","12166a74-5471-4e2d-a586-cb950a423f13"
"perimeter","613","meter","waking perimeter with GPS track-log","0aa6a907-c6ba-487b-b7dc-936575ab9986"
"perimeter","477","meter","waking perimeter with GPS track-log","6b4bc940-7937-4b77-8ceb-e334adef85e0"
"perimeter","642","meter","waking perimeter with GPS track-log","5a067911-37d2-4d9f-aaf8-8bde6cc9c4b2"
"perimeter","221","meter","waking perimeter with GPS track-log","47bd37ad-d92f-4ca5-bffb-56ebe72c2ec0"
"perimeter","221","meter","waking perimeter with GPS track-log","a26592eb-ff62-4804-9130-ec4f64b5d868"
"Area","69783","meter","waking perimeter with GPS track-log","95d868d6-1c6b-4686-a45e-7a57da19459d"
"Area","23185","meter","waking perimeter with GPS track-log","d7199c68-1985-494e-8ad4-010d3328e779"
