"eventID","individualCount","organismQuantity","organismQuantityType","occurrenceStatus","dynamicProperties","kingdom","phylum","class","order","family","genus","scientificName","lifeStage","taxonID","X","basisOfRecord","institutionCode","preparations","identifiedBy","identificationRemarks"
"1","95f1804f-fe4a-4cb1-9549-f40a33008664",2,0.148085389,"biomassDryMicroG","present","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"2","aacf0c92-a45e-4a4f-9e56-6f05ac387983",1,0.074042695,"biomassDryMicroG","present","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"3","c0470d10-2e97-4434-b5b4-aea6a8af3a60",0,0,"biomassDryMicroG","absent","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"4","371bd09c-1815-49c9-a0f2-abd67eba0cff",0,0,"biomassDryMicroG","absent","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"5","3aae1407-3ffe-40a6-aaca-58e139b22c01",0,0,"biomassDryMicroG","absent","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"6","545e897d-954e-43fa-9a3f-34911a3edb84",0,0,"biomassDryMicroG","absent","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"7","da7d48d8-b5ec-4fa0-a21c-ded56e9ecb62",0,0,"biomassDryMicroG","absent","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"8","24fc91fb-10ab-496e-abd0-6dbf00136cf3",0,0,"biomassDryMicroG","absent","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"9","52330816-667f-45c6-a90e-bd7d814ede30",0,0,"biomassDryMicroG","absent","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"10","0afba290-c936-45e5-a4f3-9dfff25de836",0,0,"biomassDryMicroG","absent","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
"11","2d0829f4-b3b9-4db5-87a1-322df0eb0323",0,0,"biomassDryMicroG","absent","meanLength_mm: NA","Animalia","Arthropoda ","Branchiopoda ","Diplostraca ","Daphnidae ","Daphnia","Daphnia pulex","","http://data.artsdatabanken.no/ScientificName/123938",NA,"MaterialSample","NTNU-VM","whole animal (EtOH - Etanol)","Thomas Jensen","Originally counts by Anders G. Finstad. Taxa identification based on parts of the material by TJ. "
