eventID;lnr;;period;dam;prove;N_daph;N_cop;N_naup;N_bos;l_daph_mm;l_cop_mm;l_naup_mm;l_bos_mm;m_daph_ug;m_cop_ug;m_naup_ug;m_bos_ug;B_daph_ugL;B_cop_ugL;B_naup_ugL;B_bos_ugL;period;dam;prove;N_daph_1;N_cop_1;N_naup_1;N_bos_1;B_daph_ugL_1;B_cop_ugL_1;B_naup_ugL_1;B_bos_ugL_1;comments;
95f1804f-fe4a-4cb1-9549-f40a33008664;1;07.08.2013;4;1;1;2;53;61;0;0.417;0.79;0.397;NA;1.481;5.516;1.664;NA;0.148085389;14.61721166;5.076181219;0;4;1;1;11;102;43;0;2.56965285;29.32534301;3.180135685;0;NA;
aacf0c92-a45e-4a4f-9e56-6f05ac387983;2;07.08.2013;4;1;2;1;40;4;0;0.417;0.79;0.397;NA;1.481;5.516;1.664;NA;0.074042695;11.03185786;0.332864342;0;4;1;2;11;100;55;0;2.56965285;28.75033629;4.067615411;0;NA;
c0470d10-2e97-4434-b5b4-aea6a8af3a60;3;07.08.2013;4;1;3;0;23;13;0;0.417;0.79;0.397;NA;NA;5.516;1.664;NA;0;6.343318267;1.081809112;0;4;1;3;7;125;40;0;1.635233632;35.93792036;2.958265754;0;NA;
371bd09c-1815-49c9-a0f2-abd67eba0cff;4;07.08.2013;4;2;1;0;0;0;8;NA;NA;NA;0.598;NA;NA;NA;11.137;0;0;0;4.454909166;4;2;1;0;0;0;2;0;0;0;1.527461874;NA;
3aae1407-3ffe-40a6-aaca-58e139b22c01;5;07.08.2013;4;2;2;0;0;0;1;NA;NA;NA;0.598;NA;NA;NA;11.137;0;0;0;0.556863646;4;2;2;0;0;0;5;0;0;0;3.818654684;NA;
545e897d-954e-43fa-9a3f-34911a3edb84;6;07.08.2013;4;2;3;0;0;0;33;NA;NA;NA;0.598;NA;NA;NA;11.137;0;0;0;18.37650031;4;2;3;0;5;0;3;0;0.999893368;0;2.29119281;NA;
da7d48d8-b5ec-4fa0-a21c-ded56e9ecb62;7;06.08.2013;4;3;1;0;72;21;0;NA;0.718;0.409;NA;NA;4.989;1.675;NA;0;17.95998159;1.758272844;0;4;3;1;0;105;47;0;0;26.05147227;3.725836731;0;NA;
24fc91fb-10ab-496e-abd0-6dbf00136cf3;8;06.08.2013;4;3;2;0;106;31;0;NA;0.718;0.409;NA;NA;4.989;1.675;NA;0;26.44108401;2.595545627;0;4;3;2;0;105;46;0;0;26.05147227;3.646563609;0;NA;
52330816-667f-45c6-a90e-bd7d814ede30;9;06.08.2013;4;3;3;0;91;64;0;NA;0.718;0.409;NA;NA;4.989;1.675;NA;0;22.69942118;5.358545811;0;4;3;3;0;45;45;0;0;11.16491669;3.567290487;0;NA;
0afba290-c936-45e5-a4f3-9dfff25de836;10;06.08.2013;4;4;1;0;15;0;0;NA;0.349;NA;NA;NA;2.352;NA;NA;0;1.764137959;0;0;4;4;1;0;5;0;0;0;0.867980247;0;0;NA;
2d0829f4-b3b9-4db5-87a1-322df0eb0323;11;06.08.2013;4;4;2;0;0;0;0;NA;0.349;NA;NA;NA;NA;NA;NA;0;0;0;0;4;4;2;0;1;0;0;0;0.363041579;0;0;NA;
3d1979da-72eb-40f7-b17e-bf50d6e59a26;12;06.08.2013;4;4;3;0;1;0;0;NA;0.349;NA;NA;NA;2.352;NA;NA;0;0.117609197;0;0;4;4;3;0;0;0;0;0;0;0;0;NA;
