"occurrenceID","measurementType","measurementValue","measurementUnit","measurementMethod"
"14bcef0f-60ec-4f13-9769-eae6e960da23","meshSize","15.5","mm",""
"9d057443-5e86-4694-8c56-1f4cf88cd300","meshSize","35","mm",""
"0b8b170a-9426-4571-b4a6-c12d54fc5743","meshSize","8","mm",""
"782e2bd3-7282-4ac8-a2cd-8f30f4537dc0","meshSize","29","mm",""
"cbe45266-cb58-44ea-b375-974e39e0597d","meshSize","15.5","mm",""
"e65ef99a-a0e6-467c-b287-ae36ec218c84","meshSize","29","mm",""
"1ee90b21-0d87-45a1-ae50-dcc8b162e1d1","meshSize","12.5","mm",""
"dae09a8f-a3ab-4ff1-918a-00290d17d27f","meshSize","19.5","mm",""
"a4951d68-43ad-4db7-9505-ca1e7b2a0c4f","meshSize","29","mm",""
"1ca6aa70-3e75-4a3e-9710-3f8c356c8340","meshSize","29","mm",""
"cd542b75-0ccc-4cbc-a125-1727d211eabb","meshSize","35","mm",""
"dbcdff51-a7cf-4402-9fb5-6192b3d3a95b","meshSize","15.5","mm",""
"d09fbd72-5999-4f5b-9bd9-9ed6c722dc82","meshSize","24.5","mm",""
"277684ae-48ad-4bfa-b7ee-ee1f442f4a4c","meshSize","24.5","mm",""
"652d5915-6117-4822-9f9c-caf97b74ea16","meshSize","35","mm",""
"48b2c5a1-307e-4c7c-8870-b25bef993a8a","meshSize","45","mm",""
"a2d87556-feb0-4f5a-b2aa-778080e740a9","meshSize","15.5","mm",""
"f9b34f73-8d4a-4453-bcac-b1001ad18301","meshSize","29","mm",""
"99af80a2-529f-4cba-87f3-d4f87ad15578","meshSize","19.5","mm",""
"b4a7a3cf-e2d1-46ca-877d-602ade158f47","meshSize","8","mm",""
"5106aa25-cadf-4f51-a1c6-92d1138e8c36","meshSize","29","mm",""
"d03fb699-616c-4193-964b-04d2331d8bb1","meshSize","8","mm",""
"fd94bf1d-dde3-4f73-b550-845a15d96213","meshSize","15.5","mm",""
"284b311e-1ed5-437d-bc19-197de20576e0","meshSize","8","mm",""
"f85a7a77-d13e-42ac-8ad4-8f7f93a6b4b5","meshSize","29","mm",""
"becb058b-5f46-4412-9e0a-f28bf82dc99e","meshSize","24.5","mm",""
"9d6046ac-83ca-432c-b97f-8dcfdae09d2b","meshSize","10","mm",""
"2c8566d6-f7cb-4ea6-b4e0-802d6ed4cc46","meshSize","10","mm",""
"0bbe0443-f590-48da-a73d-41d798b43e28","meshSize","10","mm",""
"c775e56b-8a52-4cd9-911a-f49057f7a10c","meshSize","10","mm",""
"2eac6db3-75ba-469c-a076-a850d72615e0","meshSize","10","mm",""
"f8b99f9b-bcba-4f47-9cfa-c500abe93ce9","meshSize","12.5","mm",""
"b8749006-0abe-473c-873c-9e220b7f6151","meshSize","12.5","mm",""
"ea703300-5884-49c4-9103-4fb673682e80","meshSize","12.5","mm",""
"79436c9e-4fd7-434e-8f84-9d36cd886779","meshSize","12.5","mm",""
"353cc1db-9aab-4ca8-9726-83ea3181c956","meshSize","15.5","mm",""
"b3e7d367-578b-4c5b-8292-591c2b0a07b1","meshSize","12.5","mm",""
"6c3ebaff-ed8d-4c39-bd09-ffb47462d9f8","meshSize","8","mm",""
"a263ba0b-37c3-4e52-a89c-80dd3890345d","meshSize","8","mm",""
"fe47ea47-b47c-4787-8116-d99c34934eac","meshSize","8","mm",""
"fd9c056a-5edf-4048-a451-1870cabd67f5","meshSize","8","mm",""
"f1e7bbad-1916-45d2-94c8-724bc839cce7","meshSize","8","mm",""
"046fd25d-a4cb-4732-a888-0bcb6e83de1d","meshSize","8","mm",""
"a2d2315a-b46c-4594-92bb-69cfc928151e","meshSize","10","mm",""
"e69543c1-870b-4a35-b98d-123dd080ddc0","meshSize","10","mm",""
"769f87f2-c70f-43ae-88b7-ef27d85095f4","meshSize","10","mm",""
"cf9b7677-4a34-447d-8591-195b6252321b","meshSize","10","mm",""
"8f1ddc6f-35e7-4081-a2a0-f6fe95fa0151","meshSize","8","mm",""
"c1d3845f-ab8e-4573-bbd6-ec43066225e0","meshSize","8","mm",""
"0b3f589a-33e9-4942-9fa3-6812f11e05ca","meshSize","8","mm",""
"1f3fbc3e-3f86-408a-b862-44018053398a","meshSize","8","mm",""
"b89d8b76-04c6-4fec-a7ea-0d3bbe8cedfb","meshSize","8","mm",""
"7833d896-c9a9-4939-91a5-a93577fcb611","meshSize","8","mm",""
"2971721c-30ca-4b9e-b7ee-918b3c52ecf7","meshSize","8","mm",""
"fba637ab-010f-4a57-9478-1fc692d6f85b","meshSize","8","mm",""
"d16253ee-3f94-4444-a44f-7ab882000912","meshSize","8","mm",""
"5e2218f2-9239-421b-91b4-95df38c7c518","meshSize","8","mm",""
"448033b6-e410-4d8c-944d-fbb2f02f57bd","meshSize","8","mm",""
"e9552165-cf14-4b44-b979-c5578ebc20b3","meshSize","8","mm",""
"a8419bed-7429-464f-9fc3-cde49963239c","meshSize","8","mm",""
"7b2a1d2f-a94b-4a76-9ecd-aa4cd9fcc64c","meshSize","8","mm",""
"a5a58b0e-88da-4116-bdd1-05ff6f4d86b7","meshSize","10","mm",""
"6a253c65-524f-41b9-a105-374225123136","meshSize","10","mm",""
"4ee99d4a-260d-4094-9936-513a9a35556a","meshSize","10","mm",""
"ff0c78f5-4ac9-4373-8911-9ad256237775","meshSize","8","mm",""
"797f9d1d-25cd-4a7f-84fb-941b4083694f","meshSize","8","mm",""
"7dc3bedd-e3ac-4138-9c67-13b442818881","meshSize","8","mm",""
"ef7f26fe-c25e-48cd-9455-6d921de9073b","meshSize","8","mm",""
"7c36ff0a-732e-4c83-ae37-be16ca15aae6","meshSize","8","mm",""
"98c22e45-1dc9-42ae-8eb3-b8106df0b8ec","meshSize","8","mm",""
"460ef3ea-1fff-43b3-85fa-1e59cb2e586f","meshSize","10","mm",""
"09ee3610-94d2-40af-991a-68d165195e38","meshSize","10","mm",""
